番号,本文,季,七,恋,旅,述,植,動,山,水,居,降,聳,光,神,釈,人,名,衣,時,夜,風,聞,備考
01,すみよしの まつこそみちの しるへなれ,,松,,,,木,,,,,,,,,,,名,,,,,,
02,とほさとをのの ゆきのかへるさ,冬,,,旅,,,,,,,降,,,,,,名,,,,,,
03,ふねよする はまへのまさこ つきさえて,冬,船月,,旅,,,,,水,,,,光,,,,,,,夜,,,
04,こゑもむらむら ちとりなくなり,冬,,,,,,鳥,,,,,,,,,,,,,,,聞,
05,わかかとの いなはいろつき ふくかせに,秋,,,,,草,,,,居,,,,,,人,,,,,風,,
06,かきほをあらみ すすきちるころ,秋,,,,,草,,,,居,,,,,,,,,,,,,
07,くれふかき つゆのかよひち あとたえて,秋,,,,,,,,,,降,,,,,,,,夕,,,,
08,いくへのしもそ みるもすさまし,秋,,,,,,,,,,降,,,,,,,,,,,,
09,をちこちの かねにめさめて いつるよに,,,,旅,,,,,,,,,,,,,,,,夜,,,
10,しつまるやとり ひとやねぬらむ,,,,,,,,,,□,,,,,,人,,,,夜,,,居列□は第52号凡例の「間隔二句以上」を示す記号
11,たれとなく すすしきつきに こゑふけて,夏,月,,,,,,,,,,,光,,,人,,,,夜,,聞,
12,みつにそやまの こころをもしる,,,,,,,,山,水,,,,,,,,,,,,,,
13,かせをのみ はなはうらみし よしのかは,春,,,,,木,,,水,,,,,,,,名,,,,風,,
14,はやくもかはる ふるさとのはる,春,,,,,,,,,居,,,,,,,,,,,,,
15,つれてこし ちきりもかりの わかれちに,春,,,,,,鳥,,,,,,,,,,,,,,,,
16,うかへるくもの よをはたのまし,,,,,,,,,,,,聳,,,,,,,,,,,
17,みちならぬ みはわひぬるも つらからて,,,,,,,,,,,,,,,,人,,,,,,,
18,よしふりぬとも かかるよもきふ,,,,,,草,,,,□,,,,,,,,,,,,,居列□は第52号凡例の「間隔二句以上」を示す記号
19,うつろへは つゆこそつきの みやこなれ,秋,月,,,,,,,,,降,,光,,,,,,,夜,,,
20,あきのやまにや たひをわすれむ,秋,,,旅,,,,山,,,,,,,,,,,,,,,
21,なくしかに わかつまこひを なくさめて,秋,,恋,,,,獣,,,,,,,,,人,,,,,,,
22,あはさらめやの ゆふへたにうし,,,恋,,,,,,,,,,,,,,,,夕,,,,
23,さのみやは たのめしことの あたならむ,,,恋,,,,,,,,,,,,,,,,,,,,
24,うらみしこころ みえもこそすれ,,,恋,,,,,,,,,,,,,,,,,,,,
25,たへねたた おもふにかなふ ひともなし,,,,,,,,,,,,,,,,人,,,,,,,
26,やすけなるみも よそめなりけり,,,,,,,,,,,,,,,,人,,,,,,,
27,みつをとも やまをとなりの くさのいほ,,,,,,×,,山,水,居,,,,,,×,,,,,,,植列・人列の×は第52号凡例の「範疇に入りうる語を含むが対象外」を示す記号
28,よふかきしもに かはかせそふく,冬,,,,,,,,水,,降,,,,,,,,,夜,風,,
29,たつをしの あとをうきねの こゑわひて,冬,,,,,,鳥,,水,,,,,,,,,,,夜,,聞,
30,ひとりやつきの ゆくへをもみむ,秋,月,,,,,,,,,,,光,,,人,,,,夜,,,
31,わかさらむ あきのそらかは まてしはし,秋,,,,,,,,,,,,,,,,,,,,,,
32,いさやいのちの のちのゆふつゆ,秋,,,,述,,,,,,降,,,,,,,,夕,,,,
33,くさのはら なこりわすれぬ ひともかな,,,,,,草,,,,,,,,,,人,,,,,,,
34,さくらうちちり さとそふりゆく,春,,,,,木,,,,居,,,,,,,,,,,,,
35,たちなれし かりはのかたの はるくれて,春,,,,,□,,,,,,,,,,,名,,▽,,,,植列□は第52号凡例の「間隔二句以上」を示す記号／時列▽は第52号凡例の朝時分句・夕時分句の相互不嫌を示す記号
36,ありかやいつく ききすなくこゑ,春,,,,,,鳥,,,,,,,,,,,,,,,聞,
37,ゆきなから かすむとやまの あさことに,春,,,,,,,山,,,降,聳,,,,,,,朝,,,,
38,いふきおろしそ なみにのこれる,,,,,,,,山,水,,,,,,,,名,,,,風,,
39,ふねわたす よなかにつきは かたふきて,秋,船月,,,,,,,水,,,,光,,,,,,,夜,,,
40,まつにふけての ほしあひやうき,秋,,恋,,,,,,,,,,光,,,,,,,夜,,,
41,あきをちきり くれをたのむも いたつらに,秋,,恋,,,,,,,,,,,,,,,,夕,,,,
42,なほいつまての おもひならまし,,,恋,,,,,,,,,,,,,,,,,,,,
43,かりのみを はしめなきよに うけそめて,,,,,,,,,,,,,,,,人,,,,,,,
44,たれをうらやみ たれをくたさむ,,,,,,,,,,,,,,,,人,,,,,,,
45,さかぬきも ときしるはなの ひとさかり,春,,,,,木,,,,,,,,,,,,,,,,,
46,やまはみとりの はるふかきいろ,春,,,,,□,,山,,,,,,,,,,,,,,,植列□は第52号凡例の「間隔二句以上」を示す記号
47,かすみこく あまのつりふね とほきえに,春,船,,,,,,,水,,,聳,,,,人,,,,,,,
48,はまなのはしを たたにやはみむ,,,,,,,,,水,,,,,,,,名,,,,,,
49,すみわたる つきにいそくな あまつかり,秋,月,,,,,鳥,,,,,,光,,,,,,,夜,,,
50,こはきうつろふ いねかてのころ,秋,,,,,草,,,,,,,,,,,,,,夜,,,
51,しをるなよ みにいまよりの あきのかせ,秋,,,,,,,,,,,,,,,人,,,,,風,,
52,ゆふこえくれは やまそかさなる,,,,旅,,,,山,,,,,,,,,,,夕,,,,
53,ふりそむる あしたのゆきに こまなへて,冬,,,,,,獣,,,,降,,,,,,,,朝,,,,
54,かれのをとふは たたみやこひと,冬,,,,,□,,,,,,,,,,人,,,,,,,植列□は第52号凡例の「間隔二句以上」を示す記号
55,やふしわかす もとめはうめや はなもみむ,春,,,,,草木,,,,,,,,,,,,,,,,,
56,あせたるむらの はるさむきかけ,春,,,,,,,,,□,,,,,,,,,,,,,居列□は第52号凡例の「間隔二句以上」を示す記号
57,ひまかこふ のきはのかすみ ころもかせ,春,衣,,,,,,,,居,,聳,,,,,,衣,,,,,
58,やまにもみこそ かくしわひぬれ,春,,,,述,,,山,,,,,,,,人,,,,,,,
59,おもひたつ ひとへこころに よをいてて,,,,,述,,,,,,,,,,,,,,,,,,
60,あさきをきくも のりならすやは,,,,,,,,,,,,,,,釈,,,,,,,,
61,わたれひと ふねまつほとの みつもなし,,船,,,,,,,水,,,,,,,人,,,,,,,
62,はるるもいてぬ さみたれのやと,夏,,,,,,,,,居,降,,,,,,,,,,,,
63,つきそうき くものいつこに ふけぬらむ,秋,月,,,,,,,,,,聳,光,,,,,,,夜,,,
64,よはひややかに ほたるとふかけ,秋,,,,,,虫,,,,,,,,,,,,,夜,,,
65,をきにかせ いはぬおもひの こたへして,秋,,,,,草,,,,,,,,,,,,,,,風,,
66,ゆふへのしらは いかかしのはむ,,,恋,,,,,,,,,,,,,,,,夕,,,,
67,まちうかれ われやゆかむの みちのへに,,,恋,,,,,,,,,,,,,人,,,,,,,
68,みえはやひとも こころなからし,,,恋,,,,,,,,,,,,,人,,,,,,,
69,やまさとの はなをかへさに をりわひて,春,,,,,木,,山,,居,,,,,,,,,,,,,
70,たつねよまたも なきさくらかは,春,,,,,木,,,,,,,,,,,,,,,,,
71,たたになと あたらはるひを つくすらむ,春,,,,,,,,,□,,,,,,,,,,,,,居列□は第52号凡例の「間隔二句以上」を示す記号
72,ねさめするよの うつるたにをし,,,,,,,,,,,,,,,,,,,,夜,,,
73,おときけは よそのしくれを まくらにて,冬,枕,,,,,,,,,降,,,,,,,,,夜,,聞,
74,くもらぬつきに ものなおもひそ,秋,月,,,,,,,,,,,光,,,,,,,夜,,,
75,あらさすは やとにやはみむ のへのあき,秋,,,,,,,,,居,,,,,,,,,,,,,
76,むしのいろいろ みたれてそなく,秋,,,,,,虫,,,,,,,,,,,,,,,,
77,まちいつる かせのとたえに つゆおきて,秋,,,,,,,,,,降,,,,,,,,,,風,,
78,しをれもやまし をふねさすそて,,船,,,,,,,水,,,,,,,,,衣,,,,,
79,おりたつを おもへあしかる わさなれや,,,,,,草,,,水,,,,,,,,,,,,,,
80,こひちにいかて たかふこころそ,,,恋,,,,,,,,,,,,,,,,,,,,
81,よやはうき たれうらめしき ひとならむ,,,恋,,,,,,,,,,,,,人,,,,,,,
82,おいをなせめそ かからさらめや,,,,,述,,,,,,,,,,,,,,,,,,
83,あきはしくれ ふゆはしもよに ふしわひて,冬,,,,,,,,,,降,,,,,,,,,夜,,,
84,このはふりゆく あかつきのいほ,冬,,,,,木,,,,居,,,,,,,,,△,夜,,,時列△は第52号凡例の朝時分句・夕時分句の相互不嫌を示す記号
85,かけさひし あらしやつきに のこるらむ,秋,月,,,,,,,,,,,光,,,,,,,夜,風,,
86,やまさむけにも まつむしそなく,秋,,,,,,虫,山,,,,,,,,,,,,,,,
87,よるかたも あらしすみかに あきはきて,秋,,,,,,,,,□,,,,,,,,,,,,,居列□は第52号凡例の「間隔二句以上」を示す記号
88,ひとのこころの みゆるゆふくれ,,,,,,,,,,,,,,,,人,,,夕,,,,
89,よむうたや なほみのうきを たねならむ,,,,,,,,,,,,,,,,人,,,,,,,
90,おもひをのへは ものことにあり,,,,,,,,,,,,,,,,,,,,,,,
91,さくはなの かたはらとほく かすむのに,春,,,,,木,,,,,,聳,,,,,,,,,,,
92,はやしをしめて すめるのとけさ,春,,,,,木,,,,,,,,,,,,,,,,,
93,きかしたた はるはいくかの かねのこゑ,春,,,,,,,,,,,,,,,,,,▽,,,聞,時列▽は第52号凡例の朝時分句・夕時分句の相互不嫌を示す記号
94,ひかりもかけも けにそはかなき,,,,,,,,,,,,,,,,,,,,,,,
95,ともしする かたやまかはの うかひふね,夏,船,,,,,鳥,山,水,,,,,,,,,,,夜,,,
96,みつよりはやし あくるなつのよ,夏,,,,,,,,水,,,,,,,,,,△,夜,,,時列△は第52号凡例の朝時分句・夕時分句の相互不嫌を示す記号
97,ささなみの こゑこゑしのに をりはえて,夏,,,,,,,,水,,,,,神,,,,,,,,聞,
98,はつかせたちぬ やなきちるかけ,秋,,,,,木,,,,,,,,,,,,,,,風,,
99,つゆみたれ ひくらしなきて のこるひに,秋,,,,,,虫,,,,降,,光,,,,,,,,,,
00,みにしむいろは たたあきのそら,秋,,,,,,,,,,,,,,,人,,,,,,,
